时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-5 18:15:49:246	WT901BLE67(C1:AA:08:9C:D1:14)	-0.485	0.846	-0.055	0.488	-0.061	1.038	94.82	31.00	-7.32	15.500	-42.250	-74.858	0.64276	0.72025	0.12650	-0.22797	-3.3	10080.1.21	100
2025-6-5 18:15:49:257	WTSDCL(FE:D5:86:66:1D:7C)	-0.230	-0.957	0.092	-1.221	-2.930	-0.732	-84.61	14.86	96.63	88.183	27.383	-18.800	-0.42188	0.51459	0.43567	-0.60605	7.1	10092.1.12	100
2025-6-5 18:15:49:281	WT901BLE67(E9:8A:1A:DD:D5:28)	0.505	0.860	0.000	0.427	0.122	-1.221	91.89	-30.22	-139.83	-55.000	8.875	52.833	0.40631	0.06656	-0.71237	-0.56821	-2.4	10080.1.21	100
2025-6-5 18:15:49:300	WT901BLE67(C1:AA:08:9C:D1:14)	-0.502	0.885	-0.065	-0.732	0.610	0.793	94.80	30.91	-7.29	15.500	-42.250	-74.858	0.64276	0.72025	0.12650	-0.22797	-3.3	10080.1.21	100
2025-6-5 18:15:49:380	WTSDCL(FE:D5:86:66:1D:7C)	-0.229	-0.987	0.104	-1.282	-5.066	0.000	-84.64	14.74	97.11	88.183	27.383	-18.800	-0.42188	0.51459	0.43567	-0.60605	7.1	10092.1.12	100
2025-6-5 18:15:49:401	WT901BLE67(E9:8A:1A:DD:D5:28)	0.524	0.917	-0.009	-0.061	-0.122	-1.709	91.87	-30.11	-139.81	-55.000	8.875	52.833	0.40631	0.06656	-0.71237	-0.56821	-2.4	10080.1.21	100
2025-6-5 18:15:49:418	WT901BLE67(C1:AA:08:9C:D1:14)	-0.509	0.916	-0.074	-3.906	3.784	5.066	94.71	30.67	-7.10	15.500	-42.250	-74.858	0.64276	0.72025	0.12650	-0.22797	-3.3	10080.1.21	100
2025-6-5 18:15:49:462	WT901BLE67(E9:8A:1A:DD:D5:28)	0.514	0.857	-0.012	0.244	0.183	-5.554	91.86	-29.78	-139.77	-55.000	8.875	52.833	0.40186	0.07074	-0.71127	-0.57224	-2.4	10080.1.21	100
2025-6-5 18:15:49:469	WTSDCL(FE:D5:86:66:1D:7C)	-0.229	-0.981	0.115	-1.343	-4.944	-1.465	-84.68	14.37	97.57	86.600	30.442	-20.608	-0.42188	0.51459	0.43567	-0.60605	7.1	10092.1.12	100
2025-6-5 18:15:49:510	WT901BLE67(C1:AA:08:9C:D1:14)	-0.476	0.768	-0.027	-4.150	-3.113	13.184	94.10	29.54	-6.93	13.875	-42.125	-77.342	0.64276	0.72025	0.12650	-0.22797	-3.3	10080.1.21	100
2025-6-5 18:15:49:561	WTSDCL(FE:D5:86:66:1D:7C)	-0.222	-0.974	0.140	1.526	-6.409	-1.587	-84.51	14.08	98.23	86.600	30.442	-20.608	-0.42188	0.51459	0.43567	-0.60605	7.1	10092.1.12	100
2025-6-5 18:15:49:580	WT901BLE67(E9:8A:1A:DD:D5:28)	0.390	0.917	-0.018	-6.958	-8.423	-14.832	91.80	-28.87	-140.41	-55.000	8.875	52.833	0.40186	0.07074	-0.71127	-0.57224	-2.4	10080.1.21	100
2025-6-5 18:15:49:632	WT901BLE67(C1:AA:08:9C:D1:14)	-0.385	0.854	-0.049	-0.977	-1.770	8.667	93.69	28.52	-7.18	13.875	-42.125	-77.342	0.64276	0.72025	0.12650	-0.22797	-3.3	10080.1.21	100
2025-6-5 18:15:49:676	WT901BLE67(E9:8A:1A:DD:D5:28)	0.489	0.931	-0.036	-2.075	0.244	-7.446	91.58	-27.60	-140.52	-53.875	5.750	58.167	0.40186	0.07074	-0.71127	-0.57224	-2.4	10080.1.21	100
2025-6-5 18:15:49:680	WTSDCL(FE:D5:86:66:1D:7C)	-0.203	-0.930	0.075	4.944	4.395	3.174	-83.96	14.33	98.76	86.600	30.442	-20.608	-0.41760	0.50284	0.44199	-0.61423	7.1	10092.1.12	100
2025-6-5 18:15:49:721	WT901BLE67(C1:AA:08:9C:D1:14)	-0.442	0.889	0.002	-1.221	-0.305	1.404	93.35	27.83	-7.34	13.875	-42.125	-77.342	0.65811	0.71542	0.11014	-0.20697	-3.3	10080.1.21	100
2025-6-5 18:15:49:771	WTSDCL(FE:D5:86:66:1D:7C)	-0.198	-1.007	0.122	4.211	5.737	5.310	-83.56	14.78	98.30	86.600	30.442	-20.608	-0.41760	0.50284	0.44199	-0.61423	7.1	10092.1.12	100
2025-6-5 18:15:49:790	WT901BLE67(E9:8A:1A:DD:D5:28)	0.425	0.857	-0.038	-1.160	0.610	-5.676	91.38	-27.19	-140.51	-53.875	5.750	58.167	0.40186	0.07074	-0.71127	-0.57224	-2.4	10080.1.21	100
2025-6-5 18:15:49:842	WT901BLE67(C1:AA:08:9C:D1:14)	-0.437	0.893	-0.044	-1.953	-1.160	1.587	93.15	27.50	-7.40	13.875	-42.125	-77.342	0.65811	0.71542	0.11014	-0.20697	-3.3	10080.1.21	100
2025-6-5 18:15:49:862	WTSDCL(FE:D5:86:66:1D:7C)	-0.191	-0.960	0.092	0.427	5.188	-11.353	-83.57	13.89	97.50	85.308	32.858	-21.408	-0.41760	0.50284	0.44199	-0.61423	7.1	10092.1.12	100
2025-6-5 18:15:49:882	WT901BLE67(E9:8A:1A:DD:D5:28)	0.445	0.879	-0.005	-0.305	0.549	-0.854	91.20	-26.92	-140.43	-53.875	5.750	58.167	0.38684	0.08102	-0.70651	-0.58691	-2.4	10080.1.21	100
2025-6-5 18:15:49:900	WT901BLE67(C1:AA:08:9C:D1:14)	-0.487	0.875	-0.030	1.221	-0.061	-1.099	93.13	27.50	-7.44	9.250	-41.625	-88.292	0.65811	0.71542	0.11014	-0.20697	-3.3	10080.1.21	100
2025-6-5 18:15:49:983	WTSDCL(FE:D5:86:66:1D:7C)	-0.203	-0.985	0.111	-0.549	5.981	-9.460	-83.78	12.84	96.97	85.308	32.858	-21.408	-0.41760	0.50284	0.44199	-0.61423	7.1	10092.1.12	100
2025-6-5 18:15:50:0	WT901BLE67(E9:8A:1A:DD:D5:28)	0.483	0.894	-0.005	-0.671	0.854	1.526	91.04	-26.97	-140.35	-53.875	5.750	58.167	0.38684	0.08102	-0.70651	-0.58691	-2.4	10080.1.21	100
2025-6-5 18:15:50:52	WT901BLE67(C1:AA:08:9C:D1:14)	-0.438	0.857	-0.040	1.831	-0.061	0.183	93.28	27.66	-7.37	9.250	-41.625	-88.292	0.65811	0.71542	0.11014	-0.20697	-3.3	10080.1.21	100
2025-6-5 18:15:50:64	WT901BLE67(E9:8A:1A:DD:D5:28)	0.439	0.854	-0.013	0.000	0.671	0.793	90.91	-27.10	-140.27	-49.750	0.000	60.525	0.38684	0.08102	-0.70651	-0.58691	-2.4	10080.1.21	100
2025-6-5 18:15:50:68	WTSDCL(FE:D5:86:66:1D:7C)	-0.206	-0.998	0.105	0.793	6.042	-2.258	-83.95	12.28	96.33	85.308	32.858	-21.408	-0.44083	0.50348	0.44171	-0.59744	7.1	10092.1.12	100
2025-6-5 18:15:50:110	WT901BLE67(C1:AA:08:9C:D1:14)	-0.421	0.861	-0.027	2.747	0.305	-0.671	93.47	27.80	-7.29	9.250	-41.625	-88.292	0.65613	0.71686	0.11130	-0.20773	-3.3	10080.1.21	100
2025-6-5 18:15:50:158	WTSDCL(FE:D5:86:66:1D:7C)	-0.210	-0.983	0.124	0.061	-0.671	1.648	-83.97	12.25	96.06	85.308	32.858	-21.408	-0.44083	0.50348	0.44171	-0.59744	7.1	10092.1.12	100
2025-6-5 18:15:50:211	WT901BLE67(E9:8A:1A:DD:D5:28)	0.471	0.883	-0.004	0.366	0.244	2.197	90.82	-27.22	-140.18	-49.750	0.000	60.525	0.38684	0.08102	-0.70651	-0.58691	-2.4	10080.1.21	100
2025-6-5 18:15:50:231	WT901BLE67(C1:AA:08:9C:D1:14)	-0.465	0.888	-0.048	2.014	0.183	-2.808	93.66	27.98	-7.21	9.250	-41.625	-88.292	0.65613	0.71686	0.11130	-0.20773	-3.3	10080.1.21	100
2025-6-5 18:15:50:269	WT901BLE67(E9:8A:1A:DD:D5:28)	0.470	0.882	-0.013	0.000	0.366	1.160	90.76	-27.39	-140.14	-49.750	0.000	60.525	0.39151	0.07776	-0.70453	-0.58670	-2.4	10080.1.21	100
